"Data Import Template"
"Table:","Account"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Account","","","","","","","","","","","","","","","",""
"Column Labels:","ID","Account Name","Company","Parent Account","Created On","Created By","Disable","Account Number","Is Group","Root Type","Report Type","Currency","Account Type","Rate","Frozen","Balance must be","Include in gross"
"","""5100 - Direct Expenses - GI""","Direct Expenses","GETSON INDUSTRIES","Expenses - GI","2024-06-28 12:06:46.609830","Administrator",0,"5100",1,"Expense","Profit and Loss","ETB","",0.0,"No","",0
"","""5110 - Stock Expenses - GI""","Stock Expenses","GETSON INDUSTRIES","5100 - Direct Expenses - GI","2024-06-28 12:06:46.624468","Administrator",0,"5110",1,"Expense","Profit and Loss","ETB","",0.0,"No","",0
"","""Cost of Goods Sold - GI""","Cost of Goods Sold","GETSON INDUSTRIES","5110 - Stock Expenses - GI","2024-06-28 12:06:46.641912","Administrator",0,"",0,"Expense","Profit and Loss","ETB","Cost of Goods Sold",0.0,"No","",0
"","""5112 - Expenses Included In Asset Valuation - GI""","Expenses Included In Asset Valuation","GETSON INDUSTRIES","5110 - Stock Expenses - GI","2024-06-28 12:06:46.664158","Administrator",0,"5112",0,"Expense","Profit and Loss","ETB","Expenses Included In Asset Valuation",0.0,"No","",0
"","""5118 - Expenses Included In Valuation - GI""","Expenses Included In Valuation","GETSON INDUSTRIES","5110 - Stock Expenses - GI","2024-06-28 12:06:46.675281","Administrator",0,"5118",0,"Expense","Profit and Loss","ETB","Expenses Included In Valuation",0.0,"No","",0
"","""5119 - Stock Adjustment - GI""","Stock Adjustment","GETSON INDUSTRIES","5110 - Stock Expenses - GI","2024-06-28 12:06:46.688921","Administrator",0,"5119",0,"Expense","Profit and Loss","ETB","Stock Adjustment",0.0,"No","",0
"","""5200 - Indirect Expenses - GI""","Indirect Expenses","GETSON INDUSTRIES","Expenses - GI","2024-06-28 12:06:46.701167","Administrator",0,"5200",1,"Expense","Profit and Loss","ETB","",0.0,"No","",0
"","""Cost of Sales - GI""","Cost of Sales","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-07-03 23:03:38.285507","Administrator",0,"",1,"Expense","Profit and Loss","ETB","Indirect Expense",0.0,"No","",0
"","""5900 - Inventory Adjustments - GI""","Inventory Adjustments	","GETSON INDUSTRIES","Cost of Sales - GI","2024-07-03 23:06:14.738026","Administrator",0,"5900	",0,"Expense","Profit and Loss","ETB","Cost of Goods Sold",0.0,"No","",0
"","""6050 - Employee Benefit Programs Exp - GI""","Employee Benefit Programs Exp","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-07-03 23:09:14.024298","Administrator",0,"6050	",0,"Expense","Profit and Loss","ETB","Indirect Expense",0.0,"No","",0
"","""6100 - Pension Expense - GI""","Pension Expense","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-07-03 23:10:54.713794","Administrator",0,"6100	",0,"Expense","Profit and Loss","ETB","",0.0,"No","",0
"","""6150 - Cash Short & Over - GI""","Cash Short & Over","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-07-03 23:12:47.433007","Administrator",0,"6150	",0,"Expense","Profit and Loss","ETB","Indirect Income",0.0,"No","",0
"","""6160 - Fine & Penalities - GI""","Fine & Penalities","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-07-03 23:13:35.955976","Administrator",0,"6160	",0,"Expense","Profit and Loss","ETB","Indirect Expense",0.0,"No","",0
"","""6200 - Income Tax Expense - GI""","Income Tax Expense","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-07-03 23:15:10.765527","Administrator",0,"6200	",0,"Expense","Profit and Loss","ETB","Indirect Income",0.0,"No","",0
"","""6250 - Printing & Advertizing Expense - GI""","Printing & Advertizing Expense","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-07-03 23:16:12.886397","Administrator",0,"6250	",0,"Expense","Profit and Loss","ETB","Indirect Expense",0.0,"No","",0
"","""6300 - Rent or Lease Expense - GI""","Rent or Lease Expense	","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-07-03 23:17:07.493335","Administrator",0,"6300	",0,"Expense","Profit and Loss","ETB","Indirect Expense",0.0,"No","",0
"","""6350 - Maintenance & Repairs Expense - GI""","Maintenance & Repairs Expense","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-07-03 23:18:40.833088","Administrator",0,"6350	",0,"Expense","Profit and Loss","ETB","Indirect Expense",0.0,"No","",0
"","""6400 - Utilities Expense - GI""","Utilities Expense","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-07-03 23:19:23.575159","Administrator",0,"6400	",0,"Expense","Profit and Loss","ETB","Indirect Expense",0.0,"No","",0
"","""6450 - Office Supplies Expense - GI""","Office Supplies Expense","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-07-03 23:20:08.927783","Administrator",0,"6450	",0,"Expense","Profit and Loss","ETB","Indirect Expense",0.0,"No","",0
"","""6550 - Other Office Expense - GI""","Other Office Expense","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-07-03 23:22:12.116328","Administrator",0,"6550	",0,"Expense","Profit and Loss","ETB","Indirect Expense",0.0,"No","",0
"","""6600 - Donation Expense - GI""","Donation Expense","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-07-03 23:22:58.181624","Administrator",0,"6600	",0,"Expense","Profit and Loss","ETB","Indirect Expense",0.0,"No","",0
"","""6650 - Postage and Freight Expense - GI""","Postage and Freight Expense","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-07-03 23:23:49.060623","Administrator",0,"6650	",0,"Expense","Profit and Loss","ETB","Indirect Expense",0.0,"No","",0
"","""6700 - Travel & Fuel Expense - GI""","Travel & Fuel Expense","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-07-03 23:24:45.158971","Administrator",0,"6700	",0,"Expense","Profit and Loss","ETB","Indirect Expense",0.0,"No","",0
"","""6750 - Tender Doc Expense - GI""","Tender Doc Expense","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-07-03 23:25:18.325719","Administrator",0,"6750	",0,"Expense","Profit and Loss","ETB","Indirect Expense",0.0,"No","",0
"","""6760 - Loading Unloding Expense - GI""","Loading Unloding Expense","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-07-03 23:26:07.815724","Administrator",0,"6760	",0,"Expense","Profit and Loss","ETB","Indirect Expense",0.0,"No","",0
"","""6800 - Service Charge	Expenses - GI""","Service Charge	Expenses","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-07-03 23:26:41.126692","Administrator",0,"6800	",0,"Expense","Profit and Loss","ETB","Indirect Expense",0.0,"No","",0
"","""6850 - Insurance Expense - GI""","Insurance Expense","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-07-03 23:27:16.399229","Administrator",0,"6850	",0,"Expense","Profit and Loss","ETB","Indirect Expense",0.0,"No","",0
"","""6900 - Depreciation Expense - GI""","Depreciation Expense","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-07-03 23:27:43.076685","Administrator",0,"6900	",0,"Expense","Profit and Loss","ETB","Indirect Expense",0.0,"No","",0
"","""6950 - Perdiem Expense - GI""","Perdiem Expense","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-07-03 23:28:10.010975","Administrator",0,"6950	",0,"Expense","Profit and Loss","ETB","Indirect Expense",0.0,"No","",0
"","""5201 - Administrative Expenses - GI""","Administrative Expenses","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-06-28 12:06:46.709644","Administrator",0,"5201",0,"Expense","Profit and Loss","ETB","",0.0,"No","",0
"","""5202 - Commission on Sales - GI""","Commission on Sales","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-06-28 12:06:46.720997","Administrator",0,"5202",0,"Expense","Profit and Loss","ETB","",0.0,"No","",0
"","""5203 - Depreciation - GI""","Depreciation","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-06-28 12:06:46.731550","Administrator",0,"5203",0,"Expense","Profit and Loss","ETB","Depreciation",0.0,"No","",0
"","""5204 - Entertainment Expenses - GI""","Entertainment Expenses","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-06-28 12:06:46.744120","Administrator",0,"5204",0,"Expense","Profit and Loss","ETB","",0.0,"No","",0
"","""5205 - Freight and Forwarding Charges - GI""","Freight and Forwarding Charges","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-06-28 12:06:46.759722","Administrator",0,"5205",0,"Expense","Profit and Loss","ETB","Chargeable",0.0,"No","",0
"","""5206 - Legal Expenses - GI""","Legal Expenses","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-06-28 12:06:46.770119","Administrator",0,"5206",0,"Expense","Profit and Loss","ETB","",0.0,"No","",0
"","""5207 - Marketing Expenses - GI""","Marketing Expenses","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-06-28 12:06:46.787946","Administrator",0,"5207",0,"Expense","Profit and Loss","ETB","Chargeable",0.0,"No","",0
"","""5208 - Office Maintenance Expenses - GI""","Office Maintenance Expenses","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-06-28 12:06:46.811022","Administrator",0,"5208",0,"Expense","Profit and Loss","ETB","",0.0,"No","",0
"","""5209 - Office Rent - GI""","Office Rent","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-06-28 12:06:46.821259","Administrator",0,"5209",0,"Expense","Profit and Loss","ETB","",0.0,"No","",0
"","""5210 - Postal Expenses - GI""","Postal Expenses","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-06-28 12:06:46.831849","Administrator",0,"5210",0,"Expense","Profit and Loss","ETB","",0.0,"No","",0
"","""5211 - Print and Stationery - GI""","Print and Stationery","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-06-28 12:06:46.840397","Administrator",0,"5211",0,"Expense","Profit and Loss","ETB","",0.0,"No","",0
"","""5212 - Round Off - GI""","Round Off","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-06-28 12:06:46.846286","Administrator",0,"5212",0,"Expense","Profit and Loss","ETB","Round Off",0.0,"No","",0
"","""5213 - Salary - GI""","Salary","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-06-28 12:06:46.852852","Administrator",0,"5213",0,"Expense","Profit and Loss","ETB","",0.0,"No","",0
"","""5214 - Sales Expenses - GI""","Sales Expenses","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-06-28 12:06:46.859377","Administrator",0,"5214",0,"Expense","Profit and Loss","ETB","",0.0,"No","",0
"","""5215 - Telephone Expenses - GI""","Telephone Expenses","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-06-28 12:06:46.865885","Administrator",0,"5215",0,"Expense","Profit and Loss","ETB","",0.0,"No","",0
"","""5216 - Travel Expenses - GI""","Travel Expenses","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-06-28 12:06:46.872233","Administrator",0,"5216",0,"Expense","Profit and Loss","ETB","",0.0,"No","",0
"","""5217 - Utility Expenses - GI""","Utility Expenses","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-06-28 12:06:46.879971","Administrator",0,"5217",0,"Expense","Profit and Loss","ETB","",0.0,"No","",0
"","""5218 - Write Off - GI""","Write Off","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-06-28 12:06:46.888586","Administrator",0,"5218",0,"Expense","Profit and Loss","ETB","",0.0,"No","",0
"","""5219 - Exchange Gain/Loss - GI""","Exchange Gain/Loss","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-06-28 12:06:46.897387","Administrator",0,"5219",0,"Expense","Profit and Loss","ETB","",0.0,"No","",0
"","""5220 - Gain/Loss on Asset Disposal - GI""","Gain/Loss on Asset Disposal","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-06-28 12:06:46.907764","Administrator",0,"5220",0,"Expense","Profit and Loss","ETB","",0.0,"No","",0
"","""6500 - Miscellaneous Expenses - GI""","Miscellaneous Expenses","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-06-28 12:06:46.917607","Administrator",0,"6500",0,"Expense","Profit and Loss","ETB","Chargeable",0.0,"No","",0
"","""5000 - Cost of Goods Sold - GI""","Cost of Goods Sold ","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-07-04 08:53:42.654083","Administrator",0,"5000",0,"Expense","Profit and Loss","ETB","Indirect Expense",0.0,"No","",0
"","""6000 - Wages Expense - GI""","Wages Expense ","GETSON INDUSTRIES","5200 - Indirect Expenses - GI","2024-07-08 12:11:28.705026","wuberst.sisay@fineto.fi",0,"6000",0,"Expense","Profit and Loss","ETB","Expense Account",0.0,"No","",0
